DEPTH,,CALI,RHOB,TNPH,SP,SGR,LLD,LLS,MSFLC,DTLN,DRHO,PERMCORE  .,PHICORE ,GDCORE
FT,,IN,G/C3,DEC,MV,GAPI,OHMM,OHMM,OHMM,US/F,G/C3,MD,FRAC,KGDM
8078.0,8018.0,8.34,2.316,0.256,-16.05,91.00,2.25,2.75,3.41,82.36,0.008,-999,-999,-999
8078.5,8018.5,8.31,2.270,0.204,-14.46,55.43,1.79,2.17,2.41,84.56,0.001,-999,-999,-999
8079.0,8019.0,8.16,2.244,0.182,-12.42,28.90,1.47,1.74,1.44,85.60,-0.001,-999,-999,-999
8079.5,8019.5,8.11,2.238,0.184,-10.93,22.79,1.36,1.45,0.94,85.55,-0.004,-999,-999,-999
8080.0,8020.0,8.11,2.256,0.184,-9.88,16.57,1.34,1.35,0.78,84.45,-0.010,-999,-999,-999
8080.5,8020.5,8.11,2.273,0.170,-9.29,16.56,1.41,1.34,0.75,82.85,-0.006,-999,-999,-999
8081.0,8021.0,8.11,2.292,0.153,-9.12,16.49,1.53,1.41,0.81,80.80,-0.002,-999,-999,-999
8081.5,8021.5,8.11,2.326,0.142,-8.84,18.39,1.76,1.54,0.96,78.90,-0.002,-999,-999,-999
8082.0,8022.0,8.11,2.341,0.141,-8.98,20.77,2.03,1.75,1.16,77.55,0.001,-999,-999,-999
8082.5,8022.5,8.11,2.334,0.146,-8.91,25.08,2.23,1.98,1.32,77.60,0.003,-999,-999,-999
8083.0,8023.0,8.11,2.330,0.155,-9.10,31.70,2.31,2.12,1.49,77.55,-0.006,-999,-999,-999
8083.5,8023.5,8.11,2.335,0.155,-9.32,37.66,2.38,2.16,1.53,77.80,-0.009,-999,-999,-999
8084.0,8024.0,8.11,2.333,0.153,-9.34,32.41,2.41,2.18,1.56,77.80,0.002,-999,-999,-999
8084.5,8024.5,8.11,2.335,0.150,-9.18,30.55,2.23,2.15,1.51,78.40,0.008,-999,-999,-999
8085.0,8025.0,8.11,2.330,0.153,-9.10,27.11,2.37,2.01,1.45,78.40,0.009,-999,-999,-999
